date,conditional_volatility,regime
2000-01-04,1.6175439341982967,high
2000-01-05,2.2568016178305443,high
2000-01-06,2.1329960758562385,high
2000-01-07,2.0165958589691164,high
2000-01-10,1.907193137836716,high
2000-01-11,1.8044039261425389,high
2000-01-12,1.7983947371706959,high
2000-01-13,1.7133169883186752,high
2000-01-14,1.622356298506383,high
2000-01-18,1.5370045123224851,high
2000-01-19,1.4871756264182845,high
2000-01-20,1.4102490423362963,high
2000-01-21,1.3734851205239647,high
2000-01-24,1.310445153977704,high
2000-01-25,1.7220834237492815,high
2000-01-26,1.6305843849629953,high
2000-01-27,1.5560371744944306,high
2000-01-28,1.4852332981898295,high
2000-01-31,1.8389351632447317,high
2000-02-01,1.7402930790494264,high
2000-02-02,1.64767694188975,high
2000-02-03,1.5608242690364995,high
2000-02-04,1.4792929360539562,high
2000-02-07,1.4031249070243255,high
2000-02-08,1.3315689363178567,high
2000-02-09,1.2645107100397972,high
2000-02-10,1.4988199378126994,high
2000-02-11,1.4211628051953236,high
2000-02-14,1.6224294099570247,high
2000-02-15,1.537073097644578,high
2000-02-16,1.457022747036258,high
2000-02-17,1.4514966652455354,high
2000-02-18,1.376814835470266,high
2000-02-22,1.8497172881131936,high
2000-02-23,1.7504189563361052,high
2000-02-24,1.6571822961076719,high
2000-02-25,1.5871468096121064,high
2000-02-28,1.634044927317498,high
2000-02-29,1.547969912798102,high
2000-03-01,1.467239645016695,high
2000-03-02,1.3915661434540827,high
2000-03-03,1.3206778845007896,high
2000-03-06,1.2543187058377039,high
2000-03-07,1.3120427749889187,high
2000-03-08,1.6644859410993398,high
2000-03-09,1.5765309258409141,high
2000-03-10,1.49402220157632,high
2000-03-13,1.4319838707102266,high
2000-03-14,1.4045693976393152,high
2000-03-15,1.5349039546116663,high
2000-03-16,1.4549890436250181,high
2000-03-17,1.3800870574686768,high
2000-03-20,1.309928964263901,high
2000-03-21,1.2663684737464527,high
2000-03-22,1.2035142830358796,high
2000-03-23,1.144760442248221,high
2000-03-24,1.0898884850303885,high
2000-03-27,1.038711289153493,medium
2000-03-28,0.9969524898381147,medium
2000-03-29,1.056439758442514,medium
2000-03-30,1.0075096437257012,medium
2000-03-31,1.1277945947781194,high
2000-04-03,1.0740534527503134,medium
2000-04-04,1.0239269509906133,medium
2000-04-05,1.0298693723385395,medium
2000-04-06,1.0065156591992592,medium
2000-04-07,0.9610116129754324,medium
2000-04-10,0.9186806037854711,medium
2000-04-11,0.9431883934422913,medium
2000-04-12,0.9097940562297505,medium
2000-04-13,1.2950775031545116,high
2000-04-14,1.4578657794892023,high
2000-04-17,2.8912492769586065,high
2000-04-18,2.7299168904673112,high
2000-04-19,2.5780747416965757,high
2000-04-20,2.471952470650445,high
2000-04-24,2.3353526555676902,high
2000-04-25,2.2117638817763443,high
2000-04-26,2.090648170142378,high
2000-04-27,2.034504271025229,high
2000-04-28,1.924022515117387,high
2000-05-01,1.8574756163038428,high
2000-05-02,1.7577053552913249,high
2000-05-03,1.7844115717968674,high
2000-05-04,1.927203255177541,high
2000-05-05,1.8315241845760348,high
2000-05-08,1.7333334282385116,high
2000-05-09,1.661450858512958,high
2000-05-10,1.615871936524767,high
2000-05-11,1.7690096804261517,high
2000-05-12,1.674634966375325,high
2000-05-15,1.5860542558925599,high
2000-05-16,1.502953660625903,high
2000-05-17,1.4250374190350499,high
2000-05-18,1.454729555511608,high
2000-05-19,1.416179315779634,high
2000-05-22,1.620602025578104,high
2000-05-23,1.5478709043343373,high
2000-05-24,1.68327736608689,high
2000-05-25,1.5941642647471719,high
2000-05-26,1.604403497336096,high
2000-05-30,1.5246074247561554,high
2000-05-31,1.4453358527412756,high
2000-06-01,1.3725483808482901,high
2000-06-02,1.3028704657583172,high
2000-06-05,1.2376569472572756,high
2000-06-06,1.210688210367042,high
2000-06-07,1.1877685475400714,high
2000-06-08,1.1300500837468892,high
2000-06-09,1.1139825005232873,high
2000-06-12,1.0711226938207317,medium
2000-06-13,1.0723568133985106,medium
2000-06-14,1.0223452898356198,medium
2000-06-15,0.9757490410785706,medium
2000-06-16,0.9323847032019561,medium
2000-06-19,0.9851448162730544,medium
2000-06-20,0.9411245826444566,medium
2000-06-21,0.9474082644306049,medium
2000-06-22,0.9060361848073694,medium
2000-06-23,1.1694551485462332,high
2000-06-26,1.1583176111721332,high
2000-06-27,1.1025453387122137,high
2000-06-28,1.0607964218470187,medium
2000-06-29,1.0115698162921973,medium
2000-06-30,1.034510699044093,medium
2000-07-03,0.9870788601205955,medium
2000-07-05,0.9429238885323017,medium
2000-07-06,1.1313504866154473,high
2000-07-07,1.0773719461754887,medium
2000-07-10,1.0270207155704802,medium
2000-07-11,0.9854989830818859,medium
2000-07-12,0.9414540690107124,medium
2000-07-13,0.900503314150825,medium
2000-07-14,0.86247839747067,medium
2000-07-17,0.8272184324014932,medium
2000-07-18,0.7945693307137759,medium
2000-07-19,0.9021924344821671,medium
2000-07-20,0.9296399608585865,medium
2000-07-21,0.8895281638642623,medium
2000-07-24,0.9614470806152924,medium
2000-07-25,1.0297714910888345,medium
2000-07-26,0.9826647850780561,medium
2000-07-27,1.1386039121554368,high
2000-07-28,1.0879327081695664,high
2000-07-31,1.3615564270324039,high
2000-08-01,1.2925795987750217,high
2000-08-02,1.2280297173184558,high
2000-08-03,1.1676705708651836,high
2000-08-04,1.1112788327952958,high
2000-08-07,1.0586431038209039,medium
2000-08-08,1.0095629938836936,medium
2000-08-09,0.9638482456359575,medium
2000-08-10,0.9666437595396635,medium
2000-08-11,0.9959889818412485,medium
2000-08-14,0.9512144530313964,medium
2000-08-15,0.9095735594727552,medium
2000-08-16,0.8961673216256024,medium
2000-08-17,0.869737065570325,medium
2000-08-18,0.8339454252386873,medium
2000-08-21,0.8116205186052398,medium
2000-08-22,0.7801423204340292,medium
2000-08-23,0.7525536935010216,medium
2000-08-24,0.7256105447139016,medium
2000-08-25,0.7007962328877851,low
2000-08-28,0.6807583191088259,low
2000-08-29,0.6595868014720438,low
2000-08-30,0.6528287114874108,low
2000-08-31,0.6685770652036702,low
2000-09-01,0.6484187629801291,low
2000-09-05,0.6299621216770628,low
2000-09-06,0.7268480979055574,medium
2000-09-07,0.821124355531595,medium
2000-09-08,0.7889315036182032,medium
2000-09-11,0.7946101869792507,medium
2000-09-12,0.7804618008867497,medium
2000-09-13,0.7816791505886719,medium
2000-09-14,0.752478706542509,medium
2000-09-15,0.7360992602487071,medium
2000-09-18,0.8357139466778669,medium
2000-09-19,1.0178122645058045,medium
2000-09-20,0.9715282033724578,medium
2000-09-21,0.9634247002520862,medium
2000-09-22,0.924052522017701,medium
2000-09-25,0.8845438871348201,medium
2000-09-26,0.8966170935736767,medium
2000-09-27,0.9300842066594305,medium
2000-09-28,0.8903919765793168,medium
2000-09-29,0.8530975202527702,medium
2000-10-02,1.0411384114944031,medium
2000-10-03,0.9934096354446664,medium
2000-10-04,0.9942163668981974,medium
2000-10-05,0.9495649422124022,medium
2000-10-06,0.9080404971867386,medium
2000-10-09,1.1935293144998291,high
2000-10-10,1.1561832835954753,high
2000-10-11,1.193945994418403,high
2000-10-12,1.332268585974686,high
2000-10-13,1.6752534441238693,high
2000-10-16,1.5866346213050835,high
2000-10-17,1.5034979744638086,high
2000-10-18,1.6210604087914395,high
2000-10-19,1.5567869222176125,high
2000-10-20,1.47550707643264,high
2000-10-23,1.399313560889784,high
2000-10-24,1.328666648693614,high
2000-10-25,1.2617945878447783,high
2000-10-26,1.5762001942869133,high
2000-10-27,1.4938991937464703,high
2000-10-30,1.4165506619753292,high
2000-10-31,1.3440772154442189,high
2000-11-01,1.2762176286662412,high
2000-11-02,1.2384753581989518,high
2000-11-03,1.1774346067636106,high
2000-11-06,1.121874733509655,high
2000-11-07,1.0685292805949793,medium
2000-11-08,1.0189518989460784,medium
2000-11-09,1.1863926096808175,high
2000-11-10,1.1638398302712203,high
2000-11-13,1.5263112122871347,high
2000-11-14,1.5200937680735875,high
2000-11-15,1.4411044417461367,high
2000-11-16,1.3670783006395604,high
2000-11-17,1.4067666965873005,high
2000-11-20,1.3434154145749784,high
2000-11-21,1.5003028251635406,high
2000-11-22,1.4225527285172592,high
2000-11-24,1.5680535907460245,high
2000-11-27,1.4860722004680054,high
2000-11-28,1.4092148951653243,high
2000-11-29,1.3997196262400022,high
2000-11-30,1.328313455334744,high
2000-12-01,1.529612005687675,high
2000-12-04,1.450027730199327,high
2000-12-05,1.3754385294923794,high
2000-12-06,1.3055764634574551,high
2000-12-07,1.4672771322638845,high
2000-12-08,1.4150887990791756,high
2000-12-11,1.342707954422206,high
2000-12-12,1.2749360149052282,high
2000-12-13,1.2447529671938404,high
2000-12-14,1.2353132385920647,high
2000-12-15,1.3207172222648602,high
2000-12-18,1.5576528171426245,high
2000-12-19,1.4763190257975434,high
2000-12-20,1.507518393938025,high
2000-12-21,1.965396090330214,high
2000-12-22,1.8590836502547907,high
2000-12-26,1.759215603250583,high
2000-12-27,1.6654402535205854,high
2000-12-28,1.5774263812472145,high
2000-12-29,1.4948619810886121,high
2001-01-02,1.4877565971725455,high
2001-01-03,1.8568529903155309,high
2001-01-04,1.7571205943831967,high
2001-01-05,1.7249424185995514,high
2001-01-08,1.985953227144544,high
2001-01-09,1.8805692622853145,high
2001-01-10,1.7793955849373917,high
2001-01-11,1.6843857483764402,high
2001-01-12,1.5952043958524318,high
2001-01-16,1.5359664547759768,high
2001-01-17,1.4559851981721446,high
2001-01-18,1.3810204328867681,high
2001-01-19,1.3108029244904185,high
2001-01-22,1.2579510304411452,high
2001-01-23,1.1956430934232136,high
2001-01-24,1.1374063967959596,high
2001-01-25,1.0830240302614598,high
2001-01-26,1.055399432165214,medium
2001-01-29,1.010464571241448,medium
2001-01-30,0.9646875262310993,medium
2001-01-31,0.9220982465357372,medium
2001-02-01,0.916403129647995,medium
2001-02-02,0.8772361843754484,medium
2001-02-05,1.1281882365535998,high
2001-02-06,1.074420803902789,medium
2001-02-07,1.0268863738787892,medium
2001-02-08,1.0458064380513532,medium
2001-02-09,1.0342637989183812,medium
2001-02-12,1.1421703435788857,high
2001-02-13,1.087470721422289,high
2001-02-14,1.1023769687100387,high
2001-02-15,1.0552366146898118,medium
2001-02-16,1.0063884465895852,medium
2001-02-20,1.2590391397267717,high
2001-02-21,1.4107247585676574,high
2001-02-22,1.5576489634897432,high
2001-02-23,1.479163934315914,high
2001-02-26,1.4238293303849299,high
2001-02-27,1.350895084607858,high
2001-02-28,1.3252222813958905,high
2001-03-01,1.4015163876183625,high
2001-03-02,1.3299961647734142,high
2001-03-05,1.2874303572534183,high
2001-03-06,1.2232129804698173,high
2001-03-07,1.1631686121120437,high
2001-03-08,1.1070748820852938,high
2001-03-09,1.0547212751569588,medium
2001-03-12,1.4655927265997033,high
2001-03-13,2.3293061876952494,high
2001-03-14,2.201179333169251,high
2001-03-15,2.359431404622599,high
2001-03-16,2.229512113386228,high
2001-03-19,2.270224050258799,high
2001-03-20,2.145617712853182,high
2001-03-21,2.277813054464328,high
2001-03-22,2.2867963992867724,high
2001-03-23,2.168767627029565,high
2001-03-26,2.0502240857672502,high
2001-03-27,1.9387959300612183,high
2001-03-28,1.8340922831093318,high
2001-03-29,2.0293709106597206,high
2001-03-30,1.9301126649382851,high
2001-04-02,1.825934693876583,high
2001-04-03,1.8098254322885041,high
2001-04-04,2.2663318293044297,high
2001-04-05,2.1460117758039217,high
2001-04-06,2.028831333320832,high
2001-04-09,2.102563295379826,high
2001-04-10,1.9879890451218478,high
2001-04-11,1.8803119559816672,high
2001-04-12,1.7819243528984197,high
2001-04-16,1.686759946939827,high
2001-04-17,1.6040585605277429,high
2001-04-18,1.5198405014022927,high
2001-04-19,1.4408670163621804,high
2001-04-20,1.3668558655184315,high
2001-04-23,1.3495101815277868,high
2001-04-24,1.4346393765502272,high
2001-04-25,1.4587492732029756,high
2001-04-26,1.3836103524372214,high
2001-04-27,1.313228021131304,high
2001-04-30,1.2473477272081621,high
2001-05-01,1.192869296793057,high
2001-05-02,1.1348150469480276,high
2001-05-03,1.080605405967802,medium
2001-05-04,1.2130590298666495,high
2001-05-07,1.1536792308049961,high
2001-05-08,1.1039805694391325,high
2001-05-09,1.0553888249582384,medium
2001-05-10,1.0260023278402404,medium
2001-05-11,0.9793911644909371,medium
2001-05-14,0.9922091345525674,medium
2001-05-15,0.9476971989567393,medium
2001-05-16,0.9063046991729694,medium
2001-05-17,0.8678621699275217,medium
2001-05-18,0.8322076788333544,medium
2001-05-21,0.7991861807063955,medium
2001-05-22,0.7686489397500753,medium
2001-05-23,0.7501625996492772,medium
2001-05-24,0.985130434666469,medium
2001-05-25,0.9411112032989526,medium
2001-05-29,1.0347223803063652,medium
2001-05-30,1.0438871027576477,medium
2001-05-31,1.2025903067050907,high
2001-06-01,1.1438971275831609,high
2001-06-04,1.089082600056896,high
2001-06-05,1.0379399835655587,medium
