model,elpd_loo,p_loo,elpd_waic,p_waic
AR(0),19493.81358009603,7.295163386377681,19493.811611149576,7.29713233282825
AR(1),19524.251472946766,11.113966224555043,19524.255543064737,11.109896106584827
