Date,log_return
2000-01-04,-0.039099226875721094
2000-01-05,0.001920379811527262
2000-01-06,0.0009552460841302235
2000-01-07,0.026729935262678417
2000-01-10,0.01112782129832901
2000-01-11,-0.013148634269231074
2000-01-12,-0.00439597894777588
2000-01-13,0.01209620811521539
2000-01-14,0.010614783884359547
2000-01-18,-0.00685551038023835
2000-01-19,0.0005221501712568966
2000-01-20,-0.007120558645266506
2000-01-21,-0.002916595126569277
2000-01-24,-0.028022615294881703
2000-01-25,0.006046483729051921
2000-01-26,-0.004221574646237514
2000-01-27,-0.003946270263199381
2000-01-28,-0.027840795963129494
2000-01-31,0.02490490367092768
2000-02-01,0.010571692114229592
2000-02-02,-0.0001135395970566222
2000-02-03,0.011185364792413388
2000-02-04,-0.000421150167315254
2000-02-07,-9.1272585639679e-05
2000-02-08,0.012198507136646164
2000-02-09,-0.02103510971018796
2000-02-10,0.003620246199077748
2000-02-11,-0.021192326485726554
2000-02-14,0.002030925489038715
2000-02-15,0.008674870571246274
2000-02-16,-0.0103093696588612
2000-02-17,0.0004250827714562533
2000-02-18,-0.03084707065542691
2000-02-22,0.004506615589443541
2000-02-23,0.006281214667972712
2000-02-24,-0.005349813063087794
2000-02-25,-0.014940038714278181
2000-02-28,0.010957031538572082
2000-02-29,0.013535077157034614
2000-03-01,0.009302189373569192
2000-03-02,0.0018616785832916705
2000-03-03,0.01964282967966202
2000-03-06,-0.012776691866462464
2000-03-07,-0.025965272460889643
2000-03-08,0.008140160732057033
2000-03-09,0.025279576478616228
2000-03-10,-0.004734058241369965
2000-03-13,-0.008241340204650172
2000-03-14,-0.017843748667171866
2000-03-15,0.02398262721353195
2000-03-16,0.04654580946869924
2000-03-17,0.00410546123246025
2000-03-20,-0.005367853770868791
2000-03-21,0.025244519701191237
2000-03-22,0.004521615579435867
2000-03-23,0.01764252379054998
2000-03-24,7.20175723190053e-05
2000-03-27,-0.002359635613678357
2000-03-28,-0.01064138106524215
2000-03-29,0.0005238292701630343
2000-03-30,-0.013749866207868777
2000-03-31,0.007138821544879548
2000-04-03,0.00491921579095056
2000-04-04,-0.007491620335110305
2000-04-05,-0.004936128864951428
2000-04-06,0.009348582996253185
2000-04-07,0.009948088629283092
2000-04-10,-0.007872101457462755
2000-04-11,-0.00257566572235568
2000-04-12,-0.022522988905343766
2000-04-13,-0.0183381576485111
2000-04-14,-0.060045133935631156
2000-04-17,0.032548195815906844
2000-04-18,0.02826026515219482
2000-04-19,-0.009856898019463323
2000-04-20,0.004940593765386581
2000-04-24,-0.003267702949568907
2000-04-25,0.03273432295529588
2000-04-26,-0.01119657221831627
2000-04-27,0.0026863453512833146
2000-04-28,-0.008562617657917215
2000-05-01,0.010833199608955013
2000-05-02,-0.015069558541687122
2000-05-03,-0.021801456902616145
2000-05-04,-0.003915506636260169
2000-05-05,0.016227222585557755
2000-05-08,-0.005922728038695979
2000-05-09,-0.008482903589146495
2000-05-10,-0.02081507897858703
2000-05-11,0.0177441001293257
2000-05-12,0.009297394079674781
2000-05-15,0.021857120028318633
2000-05-16,0.009375068665455899
2000-05-17,-0.012519725344927402
2000-05-18,-0.007341428670045502
2000-05-19,-0.021279493308747455
2000-05-22,-0.0044378507621862795
